Property_keywords,bedrooms,bathrooms,area,prices,locations,property_types,Latitude,Longitude
Newly 2 Bedroom In Stella Maris,2,3,"1,400 sqft",19500,"1 Residences, Wasl 1, Al Kifaf, Bur Dubai, Dubai",Apartment,25.2327163,55.2954647
Elegantly Colored 2Br With Stunning Sea Views,1,1,"1,131 sqft",19500,"SLS Dubai Hotel & Residences, Business Bay, Dubai",Apartment,25.1846151,55.2923476
Stunning 2Br In Royal Amwaj Residences North Palm Jumeirah By Deluxe Holiday Homes,1,1,726 sqft,19500,"Marquise Square, Business Bay, Dubai",Apartment,25.1850643,55.27587699999999
"Newly Furnished 3 Bedroom Villa In Mimosa Cluster, Damac Hills 2",1,1,725 sqft,19500,"Marquise Square, Business Bay, Dubai",Apartment,25.1850643,55.27587699999999
Perfect Island Relaxation | 1Br At Palm Jumeirah!!,2,2,"1,190 sqft",19500,"Paramount Tower Hotel & Residences, Business Bay, Dubai",Apartment,25.1934375,55.2654375
2Br Opera Grand - Spectacular Burj Fountain Views By Livbnb,1,2,915 sqft,19500,"The Lofts West, The Lofts, Downtown Dubai, Dubai",Apartment,25.1965476,55.2695474
High Floor I Great Amenities L Stunning Views,2,3,"1,223 sqft",19500,"API 1000, Umm Al Sheif, Dubai",Apartment,25.139231,55.20529519999999
"One Bedroom Apartment In Jvt Including All Bills, Wifi, Parking And Cleaning",2,3,"1,846 sqft",19500,"City Walk, Al Wasl, Dubai",Apartment,25.2074895,55.2625253
"One Bedroom Apartment Near Mall Of Emirates With All Bills, Wifi, Cleaning And Parking",1,1,815 sqft,19500,"Le Pont Tower 3, Le Pont, Port de La Mer, La Mer, Jumeirah, Dubai",Apartment,25.2396355,55.25280129999999
Livbnb Suites: 3-Bedroom With Marina View In Manchester Tower,1,2,428 sqft,19500,"Studio One Tower, Dubai Marina, Dubai",Apartment,25.0691036,55.1289728
Palatial 2Br With Maids Room And Beach Access!!,2,3,"1,431 sqft",19500,"Sadaf 7, Sadaf, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0813125,55.13843749999999
Bright Apartment | Modern Furniture | Studio One,2,2,"1,347 sqft",19500,"17 Icon Bay, Dubai Creek Harbour, Dubai",Apartment,25.2039806,55.3457334
Livbnb Bluewaters Suite - Full Ain Dubai View,2,2,891 sqft,19500,"Ocean Heights, Dubai Marina, Dubai",Apartment,25.0905232,55.14871979999999
Maison Privee - Chic Apt On Palm Jumeirah W/ Private Beach Access,2,3,"1,400 sqft",19500,"1 Residences, Wasl 1, Al Kifaf, Bur Dubai, Dubai",Apartment,25.2327163,55.2954647
Modern Design & Ready To Move || Near To Public Bus Stop || New Building With All Amneties,3,2,"1,505 sqft",19500,"Basswood, DAMAC Hills 2 (Akoya by DAMAC), Dubai",Townhouse,24.9803384,55.3805512
Spacious 2Br | Well-Connected | Tranquil,Studio,1,292 sqft,19600,"Oceana, Palm Jumeirah, Dubai",Apartment,25.1113995,55.137291
Gorgeous Studio With Breath-Taking Palm Views,Studio,1,540 sqft,19600,"The Address Dubai Marina (Mall Hotel), Dubai Marina, Dubai",Apartment,25.0771646,55.1405298
Stunning J-One Tower Studio | Business Bay,2,3,"1,200 sqft",19700,"Mesk, Midtown, Dubai Production City (IMPZ), Dubai",Apartment,25.0250231,55.18347619999999
Amazing Inner City 1Br In Downtown Near Dubai Mall,Studio,1,540 sqft,19700,"The Address Dubai Marina (Mall Hotel), Dubai Marina, Dubai",Apartment,25.0771646,55.1405298
Delightful 1Br At Sky Gardens Difc By Deluxe Holiday Homes,1,1,646 sqft,19700,"Park Heights 2, Park Heights, Dubai Hills Estate, Dubai",Apartment,25.1128753,55.2471341
Full Sea View - 1Br In Tiara Diamond - Palm Jumeirah,2,2,"1,292 sqft",19750,"Jumeirah 3, Jumeirah, Dubai",Apartment,25.180223,55.2231588
Marina View Pool View Partial Sea View Near Beach  1 Bedroom In Jbr,2,3,960 sqft,19799,"Marina View Tower A, Marina View Tower, Dubai Marina, Dubai",Apartment,25.0792439,55.1427251
Serene 1Br At The Anwa By Omniyat Dubai Maritime City By Deluxe Holiday Homes,1,1,775 sqft,19800,"Marina Quays West, Marina Quays, Dubai Marina, Dubai",Apartment,25.0759432,55.13575119999999
Brand New And Stylish -Standard Deluxe(No Commission),2,2,"1,238 sqft",19800,"Jumeirah 3, Jumeirah, Dubai",Apartment,25.180223,55.2231588
Idyllic 2Br W/ Assistant’S Room At Mesk 1 Midtown Dubai Production City By Deluxe Holiday Homes,1,1,760 sqft,19800,"The Point, Dubai Marina, Dubai",Apartment,25.072786,55.1326258
Trendy Studio At Mag 555 Dubai South By Deluxe Holiday Homes,2,2,"1,380 sqft",19800,"Arabian, Canal Residence West, Dubai Sports City, Dubai",Apartment,25.0381534,55.2210473
One Time Used Before Branded Fully Furnished Two Bedroom |  Panoramic  Creek View | Downtown View,3,2,"1,570 sqft",19900,"Millennium Tower, Sheikh Zayed Road, Dubai",Apartment,25.1945624,55.2662376
High Floor | Modern Furnished | Best Amenities,2,2,"1,511 sqft",19900,"Amna, Al Habtoor City, Business Bay, Dubai",Apartment,25.1841785,55.254316
Fully Furnished | Family Building | Gym  Pool  Car Parking,1,1,753 sqft,19900,"MBL Residences, JLT Cluster K, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.0671364,55.1397512
High Floor | Modern Furnished | Best Amenities,2,2,"1,511 sqft",19900,"Amna, Al Habtoor City, Business Bay, Dubai",Apartment,25.1841785,55.254316
Elegantly Designed | Big Layout | Luxurious,1,1,853 sqft,19900,"Anwa, Dubai Maritime City, Dubai",Apartment,25.2694933,55.2699508
Spectacular 2Br In Dubai Marina,2,3,"1,269 sqft",19998,"Marina Tower, Dubai Marina, Dubai",Apartment,25.08417,55.1443604
2Bdr +Maid Room On The Palm / Sea View /Beach Access,2,3,"1,269 sqft",19998,"Marina Tower, Dubai Marina, Dubai",Apartment,25.08417,55.1443604
Fully Furnished | Prime Location | 600/Night Only,2,3,"1,387 sqft",19999,"Tower B, DAMAC Towers by Paramount Hotels and Resorts, Business Bay, Dubai",Apartment,25.1831647,55.272887
10 Mins Drive To Dxb Airport | All Bills Included,2,2,"1,403 sqft",19999,"DAMAC Heights, Dubai Marina, Dubai",Apartment,25.08728,55.145627
★ Spectacular Burj Views I Furnished I Bills Included★,1,1,767 sqft,19999,"Creek Horizon Tower 2, Creek Horizon, Dubai Creek Harbour, Dubai",Apartment,25.2068836,55.3442211
Fully Furnished  Studio With Creek View All Bills Included,2,2,"1,518 sqft",19999,"The Belvedere, Dubai Marina, Dubai",Apartment,25.0681678,55.1304034
Luxury Apartment In Bluewater Island,2,2,"1,140 sqft",19999,"Harbour Gate Tower 1, Harbour Gate, Dubai Creek Harbour, Dubai",Apartment,25.2084896,55.3472011
Inclusive | Access To Dubai Mall | High End Studio Apt,2,3,"1,368 sqft",19999,"Noora, Al Habtoor City, Business Bay, Dubai",Apartment,25.1841785,55.254316
Spacious Studio | Including Bills | Jvc,2,2,"1,131 sqft",19999,"5242 Towers, Dubai Marina, Dubai",Apartment,25.0866657,55.150092
Spacious Studio With Balcony Furnished -Free Dewa & Internet,1,2,"1,221 sqft",19999,"DAMAC Heights, Dubai Marina, Dubai",Apartment,25.08728,55.145627
Cozy Apartment In Bluewaters With The Eye Dubai View,2,2,"1,867 sqft",19999,"Marina Residences 3, Marina Residences, Palm Jumeirah, Dubai",Apartment,25.114741,55.1362375
Homey 1-Bedroom Apartment @ Durar 1B | All Bills Inclusive,2,3,"1,320 sqft",19999,"Paramount Tower Hotel & Residences, Business Bay, Dubai",Apartment,25.1934375,55.2654375
Studio Bedroom !! Fully Furnished !! Free Bills,2,3,"1,199 sqft",19999,"Marina Wharf I, Marina Wharf, Dubai Marina, Dubai",Apartment,25.0723131,55.1323671
Contemporary 1 Bedroom | Brand New| All Bills Included,2,2,"1,274 sqft",19999,"Shams 1, Shams, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0730801,55.1308528
Fully Furnished Studio In Al Jaddaf,1,1,897 sqft,19999,"Business Bay, Dubai",Apartment,25.1831647,55.272887
Luxurious Apartment In Jvc,2,2,"1,320 sqft",19999,"Paramount Tower Hotel & Residences, Business Bay, Dubai",Apartment,25.1934375,55.2654375
Spectacular Sea View | High Floor | Bright Unit,2,2,"1,646 sqft",19999,"Jash Falqa, Shoreline Apartments, Palm Jumeirah, Dubai",Apartment,25.1087143,55.14840840000001
Affluent 2Br In Mjl,3,3,"1,133 sqft",19999,"Azizi Riviera 12, Azizi Riviera, Meydan One, Meydan City, Dubai",Apartment,25.171266,55.3009363
Quiet District | 10 Min From Metro Station | Huge Balcony,2,1,743 sqft,19999,"Collective 2.0, Dubai Hills Estate, Dubai",Apartment,25.114898,55.24761489999999
Brand New | Designer Furnished | Waterfront,2,3,"1,317 sqft",19999,"Murjan 1, Murjan, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0816537,55.1396324
Amazing & Luxury Flat W/ Full Marina View,1,2,929 sqft,19999,"Rimal 3, Rimal, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0777094,55.1339787
Jovial 1Br At Collective Tower 2 Mohammed Bin Rashid City,2,3,"1,358 sqft",19999,"The Bay, Business Bay, Dubai",Apartment,25.1908744,55.2909954
Fully Furnished 2Bdr In Dubai Hills | All Bills Included,2,3,"1,184 sqft",19999,"Vida Residences Creek Beach, Dubai Creek Harbour, Dubai",Apartment,25.2027718,55.3493655
Offer Starting Only From 28Oo Per Month,2,3,"1,500 sqft",19999,"DAMAC Towers by Paramount Hotels and Resorts, Business Bay, Dubai",Apartment,25.1831647,55.272887
Glamorous Apartment With A Stunning View Overlooking The Fantastic Dubai Marina,2,2,"1,278 sqft",19999,"Panorama Tower 2, Panorama, The Views, Dubai",Apartment,25.090826,55.1703542
No Commission - Furnished Studio Hotel Apartment,1,2,880 sqft,19999,"The Address Dubai Marina (Mall Hotel), Dubai Marina, Dubai",Apartment,25.0771646,55.1405298
Charming 1Br At Collective 2.0 Tower A Mohammed Bin Rashid City,1,2,779 sqft,19999,"Address Harbour Point, Dubai Creek Harbour, Dubai",Apartment,25.2078973,55.3432645
Private Garden | Tranquil | Great Amenities,1,1,671 sqft,19999,"Park Point, Dubai Hills Estate, Dubai",Apartment,25.1109453,55.2439534
Breathtaking 2-Bedroom With Maids Room @ Oldtown,4,4,"1,882 sqft",19999,"Claret, DAMAC Hills 2 (Akoya by DAMAC), Dubai",Villa,24.9803384,55.3805512
"Exquisite 1Br Apartment In Damac Vera Residences, Business Bay, Dubai",2,3,"1,250 sqft",19999,"Upper Crest (Burjside Terrace), Downtown Dubai, Dubai",Apartment,25.193303,55.2845939
Spacious Studio With Balcony Furnished -Free Dewa & Internet,1,2,"1,221 sqft",19999,"DAMAC Heights, Dubai Marina, Dubai",Apartment,25.08728,55.145627
Spectacular Sea View | High Floor | Bright Unit,2,2,"1,646 sqft",19999,"Jash Falqa, Shoreline Apartments, Palm Jumeirah, Dubai",Apartment,25.1087143,55.14840840000001
Breathtaking 2-Bedroom With Maids Room @ Oldtown,4,4,"1,882 sqft",19999,"Claret, DAMAC Hills 2 (Akoya by DAMAC), Dubai",Villa,24.9803384,55.3805512
Townhouse On Marina | Furnished | All Bills Included,1,1,811 sqft,19999,"Sunrise Bay, Emaar Beachfront, Dubai Harbour, Dubai",Apartment,25.0975186,55.1399927
Fully Furnished |  Lounge Area | Gymnasium,1,2,"1,307 sqft",19999,"Golden Mile 2, Golden Mile, Palm Jumeirah, Dubai",Apartment,25.1112061,55.14140519999999
Inclusive | Access To Dubai Mall | High End Studio Apt,2,3,"1,368 sqft",19999,"Noora, Al Habtoor City, Business Bay, Dubai",Apartment,25.1841785,55.254316
Livbnb Suites - 1Br With Spectacular Sea Views In Palm Tower,2,3,"1,515 sqft",19999,"DAMAC Towers by Paramount Hotels and Resorts, Business Bay, Dubai",Apartment,25.1831647,55.272887
Specious Furnished | Modern Amenities | Family-Oriented,2,2,"1,518 sqft",19999,"The Belvedere, Dubai Marina, Dubai",Apartment,25.0681678,55.1304034
Amazing Studio || Ready To Move In || Call Us Now,2,2,"1,140 sqft",19999,"Harbour Gate Tower 1, Harbour Gate, Dubai Creek Harbour, Dubai",Apartment,25.2084896,55.3472011
-Upgraded Studida86O|Lake View|Dubai Arch Tower,2,2,"1,320 sqft",19999,"Paramount Tower Hotel & Residences, Business Bay, Dubai",Apartment,25.1934375,55.2654375
Comfortable Beachfront 2 Br In Jbr By Livbnb,2,3,"1,215 sqft",19999,"Continental Tower, Dubai Marina, Dubai",Apartment,25.0799664,55.1390821
Affluent 2Br In Mjl,3,3,"1,133 sqft",19999,"Azizi Riviera 12, Azizi Riviera, Meydan One, Meydan City, Dubai",Apartment,25.171266,55.3009363
Fully Furnished 2Bdr In Dubai Hills | All Bills Included,2,3,"1,184 sqft",19999,"Vida Residences Creek Beach, Dubai Creek Harbour, Dubai",Apartment,25.2027718,55.3493655
Charming 1Br At Collective 2.0 Tower A Mohammed Bin Rashid City,1,2,779 sqft,19999,"Address Harbour Point, Dubai Creek Harbour, Dubai",Apartment,25.2078973,55.3432645
Private Garden | Tranquil | Great Amenities,1,1,671 sqft,19999,"Park Point, Dubai Hills Estate, Dubai",Apartment,25.1109453,55.2439534
Super Deal## Amazing Fully Furnished  Furnished Studio Available,5,5,"5,543 sqft",190000,"Flora, DAMAC Hills, Dubai",Villa,25.0234196,55.2578854
Hurry!! Offer Expires Soon - Viridis B,Studio,1,550 sqft,2299,"P-19, France Cluster, International City, Dubai",Apartment,25.1603135,55.40319239999999
Enticing 4 Bedrooms | Sur La Mer | All Bills Included,Studio,1,550 sqft,2299,"S-05, Spain Cluster, International City, Dubai",Apartment,25.1654758,55.40257339999999
Cozy 1 Bedroom Apt With Balcony | Included Bills | Easy Check-In,Studio,1,500 sqft,2299,"EMR-18, Emirates Cluster, International City, Dubai",Apartment,25.1613921,55.4222003
"Stop Searching, Start Living || Elegant Furnishing || Prime Location || Pay Monthly Rent",Studio,1,463 sqft,2499,"Russia Cluster, International City, Dubai",Apartment,25.1707268,55.4035599
Hurry Now@@ Amazing Fully Furnished Studio Only 4500 Including Bills In Sky Court Towers,Studio,1,484 sqft,2499,"V-15, Russia Cluster, International City, Dubai",Apartment,25.1707268,55.4035599
Book Now! Winter Offer 2023 | Studio Free Upgrade To One Bedroom,Studio,1,550 sqft,2499,"Spain Cluster, International City, Dubai",Apartment,25.1651813,55.4021761
"Standard One Bed Room Apartment, Near Marina Mall, Tram/Metro Station, Fully Furnished, Serviced Apt - Monthly",Studio,1,484 sqft,2499,"X-15, England Cluster, International City, Dubai",Apartment,25.1736832,55.4049437
Fully Furnished Studio Ready To Move In Best For Familly Or Single,Studio,1,484 sqft,2499,"S-19, Spain Cluster, International City, Dubai",Apartment,25.1651813,55.4021761
Best Winter Flash Sale L Wonderful 1 Bedroom Hotel Apartment,Studio,1,550 sqft,2499,"France Cluster, International City, Dubai",Apartment,25.1609303,55.4007923
Spacious And Elegant Studio Apartment - Damac Celestia,Studio,1,550 sqft,2499,"France Cluster, International City, Dubai",Apartment,25.1609303,55.4007923
Modern Studio In Business Bay | All Bills Are Included | Free Wifi & Parking,Studio,1,484 sqft,2499,"International City, Dubai",Apartment,25.1648925,55.4084034
Luxuriously Furnished Studio || Ready To Move In || Call Us Now,Studio,1,500 sqft,2499,"Spain Cluster, International City, Dubai",Apartment,25.1651813,55.4021761
Aras Tower 1 Bed Room In Majan,Studio,1,446 sqft,2499,"France Cluster, International City, Dubai",Apartment,25.1609303,55.4007923
Brand New Studio | Fully Furnished | All Bills Inclusive,Studio,1,500 sqft,2499,"International City, Dubai",Apartment,25.1648925,55.4084034
Brand New Studio | Fully Furnished | All Bills Inclusive,Studio,1,500 sqft,2499,"International City, Dubai",Apartment,25.1648925,55.4084034
Zero Commission | Deluxe 1Bhk | No Hidden Charges | All Bills Inn | Close To Moe,Studio,1,550 sqft,2499,"F-01, China Cluster, International City, Dubai",Apartment,25.1671926,55.4146312
Premium Luxury 1Br In Address Jbr,Studio,1,490 sqft,2499,"R-09, France Cluster, International City, Dubai",Apartment,25.1609303,55.4007923
Ain Dubai View | High Floor | Near Metro Beach,Studio,1,463 sqft,2499,"Q-01, France Cluster, International City, Dubai",Apartment,25.1609303,55.4007923
Best Rate - Luxorious Place - 1 Bedroom 315 Multaqa Avenue,Studio,1,500 sqft,2499,"P-15, France Cluster, International City, Dubai",Apartment,25.1609303,55.4007923
Modern Serviced Hotel Room At Dubai Marina,Studio,1,470 sqft,2499,"Emirates Cluster, International City, Dubai",Apartment,25.1631169,55.4210757
Unique Duplex | Luxuriously Furnished | Hotel Apartment,Studio,1,500 sqft,2499,"P-01, France Cluster, International City, Dubai",Apartment,25.1609303,55.4007923
Calm Chaos 4 Br Villa By Bhavan,Studio,1,450 sqft,2499,"Italy Cluster, International City, Dubai",Apartment,25.1674029,55.4007923
Calm Chaos 4 Br Villa By Bhavan,Studio,1,450 sqft,2499,"Italy Cluster, International City, Dubai",Apartment,25.1674029,55.4007923
Spacious 3 Bdr + Maid Villa | Arabian Ranches 2,Studio,1,500 sqft,2500,"France Cluster, International City, Dubai",Apartment,25.1609303,55.4007923
"No Commision ! ! Furnished 1 Bd In Dubai Gate Tower , Jlt (Cluster Q)",Studio,1,463 sqft,2500,"Y-22, England Cluster, International City, Dubai",Apartment,25.1736832,55.4049437
Majestic 4Br Villa With Assistant'S Room At Nadd Al Shiba Third Nad Al Sheba By Deluxe Holiday Homes,Studio,1,461 sqft,2500,"I-12, Morocco Cluster, International City, Dubai",Apartment,25.1618209,55.41878329999999
High Floor | Elegant 1 Br | Elite Residence,Studio,1,463 sqft,2500,"Y-12, England Cluster, International City, Dubai",Apartment,25.1736832,55.4049437
"Signature 1Br | 5* Hotel Facilities | Beach, Pool, Gym",Studio,1,484 sqft,2500,"France Cluster, International City, Dubai",Apartment,25.1609303,55.4007923
Modern Design 1Bhk | With Amazing View | Damac Tower 108 Jvc,Studio,1,485 sqft,2500,"China Cluster, International City, Dubai",Apartment,25.1671926,55.4146312
Brand New Studio Building For Family 5Min From Metro,Studio,1,500 sqft,2500,"Morocco Cluster, International City, Dubai",Apartment,25.1618209,55.41878329999999
Romantic Studio In Pantheon Elysee Jvc By Deluxe Holiday Homes,Studio,1,549 sqft,2500,"Q-01, France Cluster, International City, Dubai",Apartment,25.1609303,55.4007923
Modern Design 1Bhk | With Amazing View | Damac Tower 108 Jvc,Studio,1,485 sqft,2500,"China Cluster, International City, Dubai",Apartment,25.1671926,55.4146312
A Home Like Stay Next To The Dubai Mall And Burj Khalifa,Studio,1,500 sqft,2500,"R-05, France Cluster, International City, Dubai",Apartment,25.1609303,55.4007923
Refined Al Jadaf Living | Stunning 2-Bedroom Apartment,Studio,1,485 sqft,2500,"Italy Cluster, International City, Dubai",Apartment,25.1674029,55.4007923
Stunning Apartment | Marina View | Great Location,Studio,1,484 sqft,2500,"Y-01, England Cluster, International City, Dubai",Apartment,25.1737438,55.40142489999999
Elegant Villa | 3 Br + Maid Room | Camelia Villa,Studio,1,500 sqft,2500,"Morocco Cluster, International City, Dubai",Apartment,25.1618209,55.41878329999999
Huge One Bedroom Apartment ! Pool View ! In Jvc,Studio,1,550 sqft,2500,"France Cluster, International City, Dubai",Apartment,25.1609303,55.4007923
Large 1Bhk | Zero Commission | Fully Furnished | Close To Moe | All Bills Inn,Studio,1,500 sqft,2500,"S-17, Spain Cluster, International City, Dubai",Apartment,25.1637954,55.4043086
No Commission | 1Br Apartment In South Ridge 4 | Downtown,Studio,1,484 sqft,2500,"P-07, France Cluster, International City, Dubai",Apartment,25.1609303,55.4007923
Elegant Villa | 3 Br + Maid Room | Camelia Villa,Studio,1,500 sqft,2500,"Morocco Cluster, International City, Dubai",Apartment,25.1618209,55.41878329999999
"Signature 1Br | 5* Hotel Facilities | Beach, Pool, Gym",Studio,1,484 sqft,2500,"France Cluster, International City, Dubai",Apartment,25.1609303,55.4007923
Exclusive Offer|| Fully Furnished One Bhk Apartment,Studio,1,462 sqft,2500,"I-12, Morocco Cluster, International City, Dubai",Apartment,25.1618209,55.41878329999999
Arabian Sea View | High Floor | Vast 1 Br,Studio,1,550 sqft,2500,"V-10, Russia Cluster, International City, Dubai",Apartment,25.1707268,55.4035599
Modern Design 1Bhk | With Amazing View | Damac Tower 108 Jvc,Studio,1,485 sqft,2500,"China Cluster, International City, Dubai",Apartment,25.1671926,55.4146312
Livbnb Address Suite - Dazzling 3 Br Gem | Sea And Ain View,Studio,1,485 sqft,2500,"X-03, England Cluster, International City, Dubai",Apartment,25.1736832,55.4049437
Enchanting 2 Br Apt | Pets Allowed | High Floor | Bills Included | Near Dubai Mall,Studio,1,500 sqft,2500,"China Cluster, International City, Dubai",Apartment,25.1671926,55.4146312
